,Filo,Classe,Ordem,Família ,Gênero,Espécie,Ewe grop,Ponto,Área,Município,Dia,Mês,Ano,Data,Massa(g),Largura Cefalotoracica (mm),Sexo,Estágio,Estação,Salinidade,Gradiente Salino,Temperatura,Tipo de Maré
11,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia senegalensis,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"6,33",,,,Verao,,Polihalino,,Sizigia
12,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia senegalensis,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"4,41",,,,Verao,,Polihalino,,Sizigia
13,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia senegalensis,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"9,35",,,,Verao,,Polihalino,,Sizigia
14,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia senegalensis,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"8,59",,,,Verao,,Polihalino,,Sizigia
15,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia senegalensis,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,85",,,,Verao,,Polihalino,,Sizigia
16,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"3,91",43,,a,Verao,,Polihalino,,Sizigia
17,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,73",36,,a,Verao,,Polihalino,,Sizigia
18,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,91",38,,a,Verao,,Polihalino,,Sizigia
19,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"3,21",40,,a,Verao,,Polihalino,,Sizigia
20,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,18",33,,a,Verao,,Polihalino,,Sizigia
21,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,26",30,,a,Verao,,Polihalino,,Sizigia
22,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"1,16",30,,a,Verao,,Polihalino,,Sizigia
23,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"1,94",29,,j,Verao,,Polihalino,,Sizigia
24,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"5,99",49,,a,Verao,,Polihalino,,Sizigia
25,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"10,27",61,,a,Verao,,Polihalino,,Sizigia
26,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"10,92","57,6",m,j,Verao,,Polihalino,,Sizigia
27,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"42,58","96,68",f,a,Verao,,Polihalino,,Sizigia
28,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"28,48","79,34",f,a,Verao,,Polihalino,,Sizigia
29,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"17,3","69,66",m,j,Verao,,Polihalino,,Sizigia
30,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"26,39","80,12",f,a,Verao,,Polihalino,,Sizigia
31,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"13,85","61,2",f,a,Verao,,Polihalino,,Sizigia
32,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Gibbesia,Gibbesia neglecta,28. Others crustaceans,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"9,44","44,3",,,Verao,,Polihalino,,Sizigia
33,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Gibbesia,Gibbesia neglecta,28. Others crustaceans,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"6,36","42,36",,,Verao,,Polihalino,,Sizigia
34,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Gibbesia,Gibbesia neglecta,28. Others crustaceans,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"1,61","28,5",,,Verao,,Polihalino,,Sizigia
35,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Gibbesia,Gibbesia neglecta,28. Others crustaceans,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"0,76","19,6",,,Verao,,Polihalino,,Sizigia
36,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,Farfantepenaeus brasiliensis,27. Shrimp,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"11,15","27,6",f,j,Verao,,Polihalino,,Sizigia
37,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,Farfantepenaeus brasiliensis,27. Shrimp,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"1,79",15,f,j,Verao,,Polihalino,,Sizigia
38,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"8,98",57,,a,Verao,,Polihalino,,Sizigia
39,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"4,52",41,,a,Verao,,Polihalino,,Sizigia
40,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,97",35,,a,Verao,,Polihalino,,Sizigia
41,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,59",32,,a,Verao,,Polihalino,,Sizigia
42,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,97",29,,j,Verao,,Polihalino,,Sizigia
43,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"1,43",27,,j,Verao,,Polihalino,,Sizigia
44,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,5",36,,a,Verao,,Polihalino,,Sizigia
45,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,46",31,,a,Verao,,Polihalino,,Sizigia
46,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"3,27",44,,a,Verao,,Polihalino,,Sizigia
47,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,93",38,,a,Verao,,Polihalino,,Sizigia
48,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"1,39",26,,j,Verao,,Polihalino,,Sizigia
49,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia senegalensis,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"2,21",,,,Verao,,Polihalino,,Sizigia
50,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"46,69","94,32",m,a,Verao,,Polihalino,,Sizigia
51,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"42,03","87,7",m,a,Verao,,Polihalino,,Sizigia
52,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"19,92","74,4",f,a,Verao,,Polihalino,,Sizigia
53,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"14,37","63,38",f,j,Verao,,Polihalino,,Sizigia
54,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"18,04","72,9",f,a,Verao,,Polihalino,,Sizigia
55,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"5,47","47,16",m,j,Verao,,Polihalino,,Sizigia
56,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"13,29","65,7",m,a,Verao,,Polihalino,,Sizigia
57,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"31,51","81,7",fo,a,Verao,,Polihalino,,Sizigia
58,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"0,86","26,7",f,j,Verao,,Polihalino,,Sizigia
59,Mollusca,Gastropoda,Neogastropoda,Muricidae,Stramonita,Stramonita sp.,30. Gastropods,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"8,19",,,,Verao,,Mesohalino,,Sizigia
60,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"18,66","68,74",f,j,Verao,,Mesohalino,,Sizigia
61,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"35,37","88,46",m,j,Verao,,Mesohalino,,Sizigia
62,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"26,03","73,7",f,a,Verao,,Mesohalino,,Sizigia
63,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"34,39","94,66",m,a,Verao,,Mesohalino,,Sizigia
64,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"19,57","74,84",f,j,Verao,,Mesohalino,,Sizigia
65,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"19,77","67,36",m,j,Verao,,Mesohalino,,Sizigia
66,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"38,17","89,48",f,a,Verao,,Mesohalino,,Sizigia
67,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"61,3","97,16",fo,a,Verao,,Mesohalino,,Sizigia
68,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"44,62","94,1",f,a,Verao,,Mesohalino,,Sizigia
69,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"37,74","84,44",f,a,Verao,,Mesohalino,,Sizigia
70,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"46,87","103,14",m,a,Verao,,Mesohalino,,Sizigia
71,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"31,46","86,74",f,a,Verao,,Mesohalino,,Sizigia
72,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"23,56","76,52",m,j,Verao,,Mesohalino,,Sizigia
73,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"30,47","84,82",f,a,Verao,,Mesohalino,,Sizigia
74,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"21,99","79,72",m,j,Verao,,Mesohalino,,Sizigia
75,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"20,87","68,48",f,a,Verao,,Mesohalino,,Sizigia
76,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"9,29","74,48",f,a,Verao,,Mesohalino,,Sizigia
77,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"27,8","89,98",f,a,Verao,,Mesohalino,,Sizigia
78,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"24,57","76,68",m,j,Verao,,Mesohalino,,Sizigia
79,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,13,"64,1",f,a,Verao,,Mesohalino,,Sizigia
80,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"9,26","70,32",m,a,Verao,,Mesohalino,,Sizigia
81,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"30,38","87,7",m,j,Verao,,Mesohalino,,Sizigia
82,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"10,63","55,6",f,j,Verao,,Mesohalino,,Sizigia
83,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"40,08","92,8",f,a,Verao,,Mesohalino,,Sizigia
84,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"19,98","74,98",m,j,Verao,,Mesohalino,,Sizigia
85,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"14,55","77,7",m,j,Verao,,Mesohalino,,Sizigia
86,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"17,4","64,98",f,j,Verao,,Mesohalino,,Sizigia
87,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"15,05","66,74",f,j,Verao,,Mesohalino,,Sizigia
88,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"4,47","50,28",f,j,Verao,,Mesohalino,,Sizigia
89,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,31. Bivalves,1,Ponta da Pita,Antonina,18,3,2014,18/03/2014,"14,97",,,,Verao,,Mesohalino,,Sizigia
90,Mollusca,Gastropoda,Neogastropoda,Muricidae,Stramonita,Stramonita sp.,30. Gastropods,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"4,72",,,,Verao,,Polihalino,,Sizigia
91,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,31. Bivalves,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"24,4",,,,Verao,,Polihalino,,Sizigia
92,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"29,43","80,12",f,a,Verao,,Polihalino,,Sizigia
93,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"88,67",121,m,a,Verao,,Polihalino,,Sizigia
94,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"39,73","88,64",f,a,Verao,,Polihalino,,Sizigia
95,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"52,33","95,08",f,a,Verao,,Polihalino,,Sizigia
96,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"41,71","88,6",f,a,Verao,,Polihalino,,Sizigia
97,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"32,96","94,98",m,a,Verao,,Polihalino,,Sizigia
98,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"22,17","74,18",m,j,Verao,,Polihalino,,Sizigia
99,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"7,1","50,26",m,j,Verao,,Polihalino,,Sizigia
100,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"42,3","103,78",m,a,Verao,,Polihalino,,Sizigia
101,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"28,01","73,34",m,j,Verao,,Polihalino,,Sizigia
102,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,67,"106,4",m,a,Verao,,Polihalino,,Sizigia
103,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"7,94","51,6",m,j,Verao,,Polihalino,,Sizigia
104,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"5,86","47,64",f,j,Verao,,Polihalino,,Sizigia
105,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"38,82","97,16",f,a,Verao,,Polihalino,,Sizigia
106,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"30,5","79,46",f,a,Verao,,Polihalino,,Sizigia
107,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"20,62","71,84",f,j,Verao,,Polihalino,,Sizigia
108,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"30,69","80,09",m,a,Verao,,Polihalino,,Sizigia
109,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"32,96","85,66",f,a,Verao,,Polihalino,,Sizigia
110,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"36,69","84,64",f,a,Verao,,Polihalino,,Sizigia
111,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"24,39","80,42",f,a,Verao,,Polihalino,,Sizigia
112,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"24,45","73,3",m,a,Verao,,Polihalino,,Sizigia
113,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"23,19","71,38",m,j,Verao,,Polihalino,,Sizigia
114,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"7,99","50,78",f,j,Verao,,Polihalino,,Sizigia
115,Arthropoda,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus,Xiphopenaeus kroyeri,27. Shrimp,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"4,68","19,58",m,a,Verao,,Polihalino,,Sizigia
116,Arthropoda,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus,Xiphopenaeus kroyeri,27. Shrimp,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"0,87","10,6",f,j,Verao,,Polihalino,,Sizigia
117,Arthropoda,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus,Xiphopenaeus kroyeri,27. Shrimp,4,Baia de Paranagua,Paranagua,18,3,2014,18/03/2014,"0,2","6,72",f,j,Verao,,Polihalino,,Sizigia
